order_line_id,order_id,order_date,customer_id,repeat_customer,region,channel,acquisition_source,campaign,category,size,color,print_type,design_theme,dtf_supplier,dtf_area_cm2,dtf_cost_per_cm2_ars,base_cost_ars,labor_cost_ars,packaging_cost_ars,shipping_method,shipping_cost_ars,units,price_list_unit_ars,discount_pct,unit_price_final_ars,order_total_ars,cogs_unit_ars,profit_unit_ars,profit_total_ars,delivery_time_days,payment_method,was_returned,defect_type,customer_rating
1922,1841,2024-01-02,CUST0004,1,CABA,TiendaNube,Boca a boca,Ninguna,Remera unisex,XS,Gris,Serigrafía,Tango,Proveedor C,203,10.2,6293.0,3465.0,751.0,Retiro,0.0,2,20520.0,0.0,20520.0,41040.0,12580.46,7939.54,15879.08,5,MercadoPago,0,Ninguno,3.9
209,201,2024-01-03,CUST0002,1,Quilmes,Instagram,IG Ads,Ninguna,Remera unisex,M,Gris,DTF,Rock,Proveedor B,242,8.53,8863.0,2805.0,776.0,Moto GBA,1830.0,1,28470.0,0.0,28470.0,28470.0,16341.96,12128.04,12128.04,5,Transferencia,0,Ninguno,4.8
822,787,2024-01-03,CUST0002,1,Interior,Instagram,IG Ads,Ninguna,Remera unisex,L,Negro,DTF,Tango,Proveedor A,261,9.39,7142.0,3290.0,486.0,Moto GBA,3652.0,1,27410.0,0.0,27410.0,27410.0,17016.91,10393.09,10393.09,3,Débito,0,Ninguno,4.9
1427,1359,2024-01-03,CUST0011,1,Quilmes,TiendaNube,IG Orgánico,Ninguna,Remera unisex,M,Azul,DTF,Conurbano Nipón,Proveedor A,264,8.53,7383.0,2304.0,355.0,Correo Argentino,4963.0,1,25300.0,0.0,25300.0,25300.0,17259.33,8040.67,8040.67,6,Efectivo,0,Ninguno,4.3
73,71,2024-01-04,CUST0001,1,CABA,WhatsApp,IG Orgánico,Ninguna,Oversize,M,Negro,Serigrafía,Vintage,Proveedor B,302,9.81,8878.0,3190.0,771.0,Moto GBA,3239.0,1,31810.0,0.0,31810.0,31810.0,19039.18,12770.82,12770.82,4,Efectivo,0,Ninguno,4.1
1169,1119,2024-01-04,CUST0055,1,Quilmes,Instagram,IG Orgánico,Ninguna,Remera mujer,L,Blanco,DTF UV,Conurbano Nipón,Proveedor C,225,10.86,6718.0,3394.0,414.0,Correo Argentino,4242.0,1,29520.0,0.103,26490.0,26490.0,17215.27,9274.73,9274.73,9,MercadoPago,0,Ninguno,3.5
1484,1414,2024-01-04,CUST0343,0,CABA,Feria,IG Ads,Ninguna,Oversize,S,Azul,DTF,Vintage,Proveedor B,210,9.15,10601.0,3458.0,847.0,Retiro,0.0,2,30010.0,0.0,30010.0,60020.0,16823.24,13186.76,26373.52,2,MercadoPago,0,Ninguno,4.4
1902,1822,2024-01-04,CUST0003,1,GBA Sur,WhatsApp,IG Orgánico,Ninguna,Tote bag,XL,Negro,DTF,Conurbano Nipón,Proveedor A,170,9.48,4520.0,2397.0,553.0,Correo Argentino,3923.0,1,24550.0,0.0,24550.0,24550.0,13001.59,11548.41,11548.41,7,Débito,0,Ninguno,4.3
129,123,2024-01-05,CUST0203,0,CABA,Instagram,IG Orgánico,Ninguna,Oversize,XL,Azul,Serigrafía,Rock,Proveedor A,359,10.39,8794.0,2207.0,819.0,Retiro,0.0,2,24800.0,0.0,24800.0,49600.0,15547.5,9252.5,18505.0,2,MercadoPago,0,Ninguno,4.5
1516,1446,2024-01-05,CUST0436,0,Quilmes,Feria,Google Search,Ninguna,Oversize,L,Negro,Serigrafía,Minimalista,Proveedor B,251,9.27,7420.0,2469.0,812.0,Correo Argentino,5151.0,2,26370.0,0.0,26370.0,52740.0,15600.59,10769.41,21538.82,6,Efectivo,0,Ninguno,4.1
